molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL606783,CN(C(=O)Cc1c(Cl)cccc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,1385.0,1.385e-06,5.858550226599533,369.3360000000003,4.4013000000000035,0,2
CHEMBL607158,CN(C(=O)/C=C/c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,3650.0,3.65e-06,5.437707135543525,381.3470000000003,4.872000000000005,0,2
CHEMBL607333,CN(C(=O)COc1ccc(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,76.0,7.6e-08,7.119186407719209,385.3350000000003,4.237600000000003,0,3
CHEMBL607449,CN(C(=O)Cc1cc(Cl)c(Cl)cc1N)[C@@H]1CCCC[C@@H]1N1CCCC1,12.0,1.2000000000000002e-08,7.920818753952375,384.35100000000034,3.983500000000003,1,3
CHEMBL606784,COc1cccc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)c1,211.0,2.1100000000000002e-07,6.675717544702307,330.4720000000001,3.1031000000000013,0,3
CHEMBL607332,CN(C(=O)Cc1cccc2ccccc12)[C@H]1CCCC[C@H]1N1CCCC1,77.0,7.7e-08,7.113509274827518,350.5060000000002,4.247700000000004,0,2
CHEMBL607278,CN(CCc1ccccc1)[C@H]1CCCC[C@H]1N1CCCC1,125.0,1.2500000000000002e-07,6.903089986991944,286.463,3.5679000000000025,0,2
CHEMBL606937,CN(CCc1ccc2ccccc2c1)[C@H]1CCCC[C@H]1N1CCCC1,37.0,3.7e-08,7.431798275933005,336.52300000000014,4.721100000000004,0,2
CHEMBL607274,CN(C(=O)Cc1ccc(Br)cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,228.0,2.28e-07,6.642065152999546,379.34200000000027,3.857000000000003,0,2
CHEMBL607157,CN(C(=O)COc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,1247.0,1.247e-06,5.904133546521457,316.4450000000001,2.9308000000000014,0,3
CHEMBL607214,CN(C(=O)CCc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,1335.0,1.335e-06,5.874518734299406,314.4730000000001,3.484600000000002,0,2
CHEMBL607275,CN(C(=O)COc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,110.0,1.1e-07,6.958607314841775,385.3350000000003,4.237600000000003,0,3
CHEMBL606838,CN(C(=O)Cc1ccsc1)[C@H]1CCCC[C@H]1N1CCCC1,2100.0,2.1e-06,5.6777807052660805,306.47500000000014,3.1560000000000015,0,3
CHEMBL2374421,CN([C@H]1CCCC[C@H]1N1CCCC1)S(=O)(=O)c1ccccc1,966.0,9.660000000000002e-07,6.015022873584506,322.474,2.714100000000001,0,3
CHEMBL607335,CN(C(=O)Cc1ccccc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,870.0,8.7e-07,6.060480747381382,334.89100000000013,3.747900000000003,0,2
CHEMBL607451,COc1ccc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc1,196.0,1.96e-07,6.707743928643524,330.4720000000001,3.1031000000000013,0,3
CHEMBL607391,CN(C(=O)Cc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,1155.0,1.1550000000000002e-06,5.937418015771837,300.44600000000014,3.094500000000002,0,2
CHEMBL607156,CN(C(=O)OCc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,928.0,9.28e-07,6.032452023781138,316.4450000000001,3.6620000000000026,0,3
CHEMBL607390,CN(C(=O)Cc1ccc(Cl)cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,224.0,2.2400000000000002e-07,6.649751981665837,334.89100000000013,3.747900000000003,0,2
CHEMBL545212,C=CCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,1.738,1.738e-09,8.759950227887352,277.83899999999994,4.0362000000000045,0,1
CHEMBL555890,Cl.c1ccc2c(c1)CCCC1CN(C3CCCCC3)CCC21,1.413,1.413e-09,8.849857838151442,319.92000000000013,5.1829000000000045,0,1
CHEMBL539260,Cl.c1ccc(CCCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,4.266,4.266e-09,8.369979148886591,341.92600000000016,5.092900000000004,0,1
CHEMBL555401,CCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,2.57,2.57e-09,8.590066876668706,265.8279999999999,3.870100000000004,0,1
CHEMBL541052,COc1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1.Cl,1.995,1.995e-09,8.700057099977233,343.89799999999997,4.668900000000005,0,2
CHEMBL545447,Cl.O=[N+]([O-])c1ccc(CCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,3.467,3.467e-09,8.460046158343603,372.89600000000013,4.611000000000003,0,3
CHEMBL545448,CN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,338.84,3.3884e-07,6.470005326930858,237.77399999999994,3.0899000000000023,0,1
CHEMBL545689,Cl.c1coc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)c1,6.607,6.607000000000001e-09,8.179995693191682,303.8330000000001,4.253300000000003,0,2
CHEMBL2093875,COc1ccc2c(c1)[C@H]1CCN(C)C[C@@H]1CC2.Cl,338.84,3.3884e-07,6.470005326930858,267.7999999999999,3.098500000000002,0,2
CHEMBL555398,Cl.Clc1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,4.677,4.677e-09,8.330032630091496,348.3170000000001,5.313700000000005,0,1
CHEMBL2093876,CN1CC[C@@H]2c3ccccc3CC[C@H]2C1.Cl,446.68,4.4668000000000003e-07,6.350003492533959,237.77399999999994,3.0899000000000023,0,1
CHEMBL555581,CCCCN1CCC2c3ccccc3CCCC2C1.Cl,2.138,2.138e-09,8.669992299127241,293.882,4.650300000000006,0,1
CHEMBL539504,COc1ccc2c(c1)C1=C(CC2)CN(C)CC1.Cl,3467.37,3.46737e-06,5.459999812689,265.78399999999993,3.1523000000000017,0,2
CHEMBL545217,CCCCN1CCC2=C(CCCc3ccccc32)C1.Cl,3.981,3.981e-09,8.400007822415901,291.86599999999993,4.704100000000006,0,1
CHEMBL542390,CCCN1CCC2=C(CCc3ccccc32)C1.Cl,21.38,2.138e-08,7.669992299127241,263.81199999999995,3.9239000000000037,0,1
CHEMBL555418,COc1ccc2c(c1)[C@@H]1CCN(C)C[C@@H]1CC2.Cl,1174.9,1.1749000000000002e-06,5.929999096197655,267.7999999999999,3.098500000000002,0,2
CHEMBL540274,Cl.c1ccc(CCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,0.3236,3.236e-10,9.489991487059765,327.8990000000001,4.702800000000003,0,1
CHEMBL553561,Cl.c1ccc2c(c1)CC[C@H]1CN(C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)CC[C@@H]21,2.291,2.291e-09,8.639974910810603,357.9690000000002,5.428900000000005,0,1
CHEMBL545687,CCCCN1CCC2c3ccccc3CC2C1.Cl,10.96,1.0960000000000002e-08,7.96018944585165,265.828,3.870100000000004,0,1
CHEMBL554388,Cl.c1csc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)c1,7.079,7.079e-09,8.15002808767115,319.9010000000001,4.721800000000004,0,2
CHEMBL544282,CCCCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,6.31,6.31e-09,8.199970640755867,279.85499999999996,4.260200000000005,0,1
CHEMBL544280,CC(C)(C)c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1.Cl,97.72,9.772e-08,7.010016541698601,369.9800000000001,5.957800000000007,0,1
CHEMBL544747,Cl.O=[N+]([O-])c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,8.71,8.710000000000002e-09,8.059981844992336,358.86900000000014,4.568500000000004,0,3
CHEMBL544987,Cl.c1ccc2c(c1)CC[C@H]1CN(C3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)CC[C@@H]21,2.188,2.1880000000000003e-09,8.659952682338607,357.9690000000002,5.284800000000005,0,1
CHEMBL543101,C=CCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,4.571,4.571e-09,8.33998877871067,263.81199999999995,3.646100000000003,0,1
CHEMBL544281,CC(C)=CCN1CC[C@H]2c3ccccc3CC[C@H]2C1.Cl,1.175,1.1750000000000002e-09,8.929962133392245,291.866,4.426300000000005,0,1
CHEMBL541299,CCCCN1CCC2=C(CCc3ccccc32)C1.Cl,7.586,7.586000000000001e-09,8.119987161633228,277.83899999999994,4.3140000000000045,0,1
CHEMBL545688,CCCCN1CCC2=C(Cc3ccccc32)C1.Cl,1.862,1.8619999999999998e-09,8.730020323354676,263.81199999999995,3.9239000000000037,0,1
CHEMBL543810,Cl.c1ccc2c(c1)CC[C@H]1CN(CC3CC3)CC[C@@H]21,2.455,2.4550000000000003e-09,8.609948503541013,277.839,3.8701000000000025,0,1
CHEMBL553265,Cl.c1ccc2c(c1)CC[C@H]1CN(C3CCCCC3)CC[C@@H]21,0.2512,2.5119999999999997e-10,9.599980364934842,305.8930000000001,4.792800000000004,0,1
CHEMBL554988,Cl.c1ccc(CCN2CCC3=C(CCc4ccccc43)C2)cc1,16.6,1.6600000000000003e-08,7.779891911959945,325.88300000000004,4.756600000000004,0,1
CHEMBL544748,CCCCN1CC[C@H]2c3cc(C)cc(C)c3CC[C@H]2C1.Cl,2.042,2.0419999999999998e-09,8.689944262249108,307.90899999999993,4.877040000000006,0,1
CHEMBL542387,Cl.c1ccc2c(c1)CC[C@H]1CN(Cc3ccc4ccccc4c3)CC[C@@H]21,81.28,8.128000000000001e-08,7.090016305060156,363.93200000000013,5.813500000000006,0,1
CHEMBL545682,Cl.c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,1.82,1.82e-09,8.739928612014925,313.87200000000007,4.660300000000003,0,1
CHEMBL542140,Cl.c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)nc1,16.6,1.6600000000000003e-08,7.779891911959945,314.86000000000007,4.055300000000003,0,2
CHEMBL2093874,CCCCN1CC[C@@H]2c3ccccc3CC[C@H]2C1.Cl,3.09,3.09e-09,8.510041520575164,279.85499999999996,4.260200000000005,0,1
CHEMBL542786,CCCNCCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,34.0,3.4e-08,7.468521082957745,349.902,4.280600000000004,1,3
CHEMBL341003,CCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,9.5,9.5e-09,8.022276394711152,397.6030000000002,6.149900000000007,0,3
CHEMBL1744017,CCCCN1CCC2(CCc3ccccc32)CC1.Cl,2.042,2.0419999999999998e-09,8.689944262249108,279.85499999999996,4.188300000000004,0,1
CHEMBL338781,CCCCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,420.0,4.2e-07,6.376750709602099,369.5490000000001,5.547000000000005,1,3
CHEMBL128799,CCCNC(CCC)Cc1ccc(OC)c(OCCc2ccccc2)c1,4.5,4.5000000000000014e-09,8.346787486224656,355.52200000000005,5.027500000000005,1,3
CHEMBL541091,CCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC.Cl,210.0,2.1e-07,6.6777807052660805,406.01000000000005,5.839400000000007,1,3
CHEMBL553962,CCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC.Cl,1.5,1.5e-09,8.823908740944319,420.0370000000001,6.229500000000008,1,3
CHEMBL64511,c1ccc(CN2CCC3(CCCc4ccccc43)CC2)nc1,11.22,1.122e-08,7.950007143079858,292.426,3.9517000000000024,0,2
CHEMBL1744014,Cl.c1ccc(CCN2CCC3(CCc4ccccc43)CC2)cc1,2.754,2.754e-09,8.560036064079094,327.89900000000006,4.630900000000004,0,1
CHEMBL1743991,Cl.c1ccc2c(c1)CCCC21CCN(CC2CCCO2)CC1,5.495,5.4950000000000006e-09,8.260032303240491,321.8920000000001,3.9573000000000027,0,2
CHEMBL545760,CCCNC(C)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,10.0,1e-08,8.0,363.9289999999999,4.669100000000005,1,3
CHEMBL128717,CCCN(CCC)C(CC)Cc1ccc(OC)c(OCCc2ccccc2)c1,5.7,5.7000000000000006e-09,8.244125144327509,383.57600000000014,5.7598000000000065,0,3
CHEMBL128860,CCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,2.1,2.1e-09,8.67778070526608,369.54900000000004,5.4176000000000055,1,3
CHEMBL1788383,Cl.c1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1,0.7244,7.244e-10,9.14002155835798,313.87200000000007,4.588400000000004,0,1
CHEMBL542470,CCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC.Cl,30.0,3.0000000000000004e-08,7.522878745280337,462.1180000000002,7.351900000000009,0,3
CHEMBL1744001,CCCCCCN1CCC2(CCCc3ccccc32)CC1.Cl,2.884,2.884e-09,8.54000474395261,321.9360000000001,5.358600000000007,0,1
CHEMBL1743997,C=CCN1CCC2(CCCc3ccccc32)CC1.Cl,18.2,1.82e-08,7.739928612014925,277.839,3.9643000000000037,0,1
CHEMBL1744010,CCCCN1CCC2(CCCCc3ccccc32)CC1.Cl,4.786,4.786e-09,8.320027305722581,307.90900000000005,4.968500000000006,0,1
CHEMBL1743995,Cl.Clc1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,6.761,6.761000000000001e-09,8.169989064063882,362.34400000000005,5.631900000000006,0,1
CHEMBL11311,COc1ccc(CCN2CCCC2)cc1OCCc1ccccc1.O=C(O)C(=O)O,110.0,1.1e-07,6.958607314841775,415.48600000000005,3.1106000000000007,2,5
CHEMBL127720,CCCN(CCC)C(C)Cc1ccc(OC)c(OCCc2ccccc2)c1,12.0,1.2000000000000002e-08,7.920818753952375,369.5490000000001,5.369700000000006,0,3
CHEMBL1743994,Cl.c1csc(CN2CCC3(CCCc4ccccc43)CC2)c1,6.31,6.31e-09,8.199970640755867,333.92800000000005,5.040000000000005,0,2
CHEMBL1744013,Cl.Oc1ccc2c(c1)C1(CCC2)CCN(Cc2ccccc2)CC1,69.18,6.918000000000001e-08,7.160019442321658,343.898,4.6841000000000035,1,2
CHEMBL542784,COc1ccc(CCN)cc1OCCc1ccccc1.Cl,1000.0,1.0000000000000002e-06,6.0,307.82099999999997,3.2397000000000022,1,3
CHEMBL1744004,Cl.c1ccc(CN2CCC3(CCc4ccccc43)CC2)nc1,16.22,1.622e-08,7.789949150124863,314.86000000000007,3.9834000000000023,0,2
CHEMBL1256916,Cl.c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,3.802,3.802e-09,8.419987887470576,327.89900000000006,4.978500000000005,0,1
CHEMBL339253,CCCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,170.0,1.7000000000000001e-07,6.769551078621726,355.52200000000005,5.156900000000005,1,3
CHEMBL127899,CCCNC(CC)Cc1ccc(OC)c(OCCc2ccccc2)c1,8.0,8e-09,8.096910013008056,341.495,4.637400000000004,1,3
CHEMBL540331,CCCNC(CCC(C)C)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1.8,1.8e-09,8.744727494896694,420.0370000000001,6.085400000000007,1,3
CHEMBL1788382,CC(C)=CCN1CCC2(CCc3ccccc32)CC1.Cl,1.175,1.1750000000000002e-09,8.929962133392245,291.86599999999993,4.354400000000005,0,1
CHEMBL1744008,Cl.c1ccc2c(c1)CCCC21CCN(CC2CC2)CC1,10.23,1.023e-08,7.99012436628784,291.86600000000004,4.1883000000000035,0,1
CHEMBL1744011,Cl.c1ccc(CN2CCC3(CCCCc4ccccc43)CC2)cc1,6.761,6.761000000000001e-09,8.169989064063882,341.92600000000004,5.368600000000005,0,1
CHEMBL553841,CCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,330.0,3.3e-07,6.481486060122113,349.902,4.408400000000005,1,3
CHEMBL128998,CCCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,1000.0,1.0000000000000002e-06,6.0,467.73800000000034,8.10040000000001,0,3
CHEMBL341508,CCCCCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,1000.0,1.0000000000000002e-06,6.0,383.57600000000014,5.937100000000006,1,3
CHEMBL538845,COc1ccc(CC(N)CCC(C)C)cc1OCCc1ccccc1.Cl,130.0,1.3e-07,6.886056647693163,377.9560000000001,5.0445000000000055,1,3
CHEMBL340275,CCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,150.0,1.5000000000000002e-07,6.823908740944319,439.68400000000025,7.320200000000009,0,3
CHEMBL1743998,Cc1ccc2c(c1)CCCC21CCN(Cc2ccccc2)CC1.Cl,5.495,5.4950000000000006e-09,8.260032303240491,341.926,5.2869200000000065,0,1
CHEMBL1744015,CCCCCCN1CCC2(CCc3ccccc32)CC1.Cl,1.514,1.514e-09,8.819874124835946,307.90900000000005,4.968500000000006,0,1
CHEMBL538290,CCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1000.0,1.0000000000000002e-06,6.0,335.87499999999994,4.0183000000000035,1,3
CHEMBL1788381,CCCCN1CCC2(CCCc3ccccc32)CC1.Cl,1.202,1.202e-09,8.92009553233328,293.882,4.578400000000006,0,1
CHEMBL421446,CCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,13.0,1.3e-08,7.886056647693163,411.63000000000017,6.587900000000007,1,3
CHEMBL128944,CCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,230.0,2.3000000000000002e-07,6.638272163982407,453.7110000000003,7.71030000000001,0,3
CHEMBL1743996,C=CCCN1CCC2(CCCc3ccccc32)CC1.Cl,6.607,6.607000000000001e-09,8.179995693191682,291.86599999999993,4.354400000000005,0,1
CHEMBL1743992,Cl.O=[N+]([O-])c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,14.13,1.413e-08,7.849857838151442,372.896,4.886700000000005,0,3
CHEMBL339638,CCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,9.0,9.000000000000001e-09,8.045757490560675,397.6030000000001,6.197800000000006,1,3
CHEMBL128999,CCCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,170.0,1.7000000000000001e-07,6.769551078621726,425.6570000000002,6.978000000000008,1,3
CHEMBL340587,CCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,29.0,2.9e-08,7.5376020021010435,411.63000000000017,6.540000000000007,0,3
CHEMBL1744002,COc1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1.Cl,1.66,1.66e-09,8.779891911959945,357.925,4.987100000000006,0,2
CHEMBL1743993,Cl.c1coc(CN2CCC3(CCCc4ccccc43)CC2)c1,9.55,9.55e-09,8.019996628416253,317.86000000000007,4.571500000000004,0,2
CHEMBL1744016,COc1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1.Cl,3.467,3.467e-09,8.460046158343603,343.8980000000001,4.597000000000006,0,2
CHEMBL62770,CC(C)=CCN1CCC2(CCCc3ccccc32)CC1,1.047,1.047e-09,8.980053318321158,269.432,4.322700000000004,0,1
CHEMBL1744003,Cc1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1.Cl,1.413,1.413e-09,8.849857838151442,341.9260000000001,5.2869200000000065,0,1
CHEMBL1743999,Cl.c1ccc2c(c1)CCC21CCN(CC2CCCCC2)CC1,1.349,1.349e-09,8.869988050328097,319.92000000000013,4.968500000000005,0,1
CHEMBL338858,CCCC(N)(CCC)Cc1ccc(OC)c(OCCc2ccccc2)c1.O=C(O)/C=C/C(=O)O,1000.0,1.0000000000000002e-06,6.0,471.59400000000016,4.868700000000004,3,5
CHEMBL521582,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1.3,1.3e-09,8.886056647693163,391.983,5.403000000000007,0,3
CHEMBL543896,CCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,110.0,1.1e-07,6.958607314841775,377.95599999999996,5.188600000000005,1,3
CHEMBL1744000,Cl.c1ccc2c(c1)CCCC21CCN(CC2CCCCC2)CC1,2.291,2.291e-09,8.639974910810603,333.9470000000002,5.358600000000005,0,1
CHEMBL128254,CCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,160.0,1.6e-07,6.795880017344075,327.46799999999996,4.376700000000003,1,3
